isfocus,focus,word,normalized_words,index,POS,-1POS,-2POS,+1POS,+2POS
1,chapter,Chapter,chapter,0,NN,XXXX,XXXX,CD,.
0,chapter,1,1,1,CD,NN,XXXX,.,XXXX
0,chapter,.,.,2,.,CD,NN,XXXX,XXXX
0,see,Once,once,0,RB,XXXX,XXXX,WRB,PRP
0,see,when,when,1,WRB,RB,XXXX,PRP,VBD
0,see,I,i,2,PRP,WRB,RB,VBD,CD
0,see,was,be,3,VBD,PRP,WRB,CD,NNS
0,see,six,six,4,CD,VBD,PRP,NNS,JJ
0,see,years,year,5,NNS,CD,VBD,JJ,PRP
0,see,old,old,6,JJ,NNS,CD,PRP,VBD
0,see,I,i,7,PRP,JJ,NNS,VBD,DT
0,see,saw,saw,8,VBD,PRP,JJ,DT,JJ
0,see,a,a,9,DT,VBD,PRP,JJ,NN
0,see,magnificent,magnificent,10,JJ,DT,VBD,NN,IN
0,see,picture,picture,11,NN,JJ,DT,IN,DT
0,see,in,in,12,IN,NN,JJ,DT,NN
0,see,a,a,13,DT,IN,NN,NN,","
0,see,book,book,14,NN,DT,IN,",",VBN
0,see,",",",",15,",",NN,DT,VBN,NNP
0,see,called,call,16,VBN,",",NN,NNP,NNPS
0,see,True,true,17,NNP,VBN,",",NNPS,IN
0,see,Stories,stories,18,NNPS,NNP,VBN,IN,NNP
0,see,from,from,19,IN,NNPS,NNP,NNP,","
0,see,Nature,nature,20,NNP,IN,NNPS,",",IN
0,see,",",",",21,",",NNP,IN,IN,DT
0,see,about,about,22,IN,",",NNP,DT,NN
0,see,the,the,23,DT,IN,",",NN,NN
0,see,primeval,primeval,24,NN,DT,IN,NN,.
0,see,forest,forest,25,NN,NN,DT,.,XXXX
0,see,.,.,26,.,NN,NN,XXXX,XXXX
0,picture,It,it,0,PRP,XXXX,XXXX,VBD,DT
0,picture,was,be,1,VBD,PRP,XXXX,DT,NN
0,picture,a,a,2,DT,VBD,PRP,NN,IN
1,picture,picture,picture,3,NN,DT,VBD,IN,DT
0,picture,of,of,4,IN,NN,DT,DT,NN
0,picture,a,a,5,DT,IN,NN,NN,NN
0,picture,boa,boa,6,NN,DT,IN,NN,IN
0,picture,constrictor,constrictor,7,NN,NN,DT,IN,DT
0,picture,in,in,8,IN,NN,NN,DT,NN
0,picture,the,the,9,DT,IN,NN,NN,IN
0,picture,act,act,10,NN,DT,IN,IN,VBG
0,picture,of,of,11,IN,NN,DT,VBG,DT
0,picture,swallowing,swallow,12,VBG,IN,NN,DT,NN
0,picture,an,an,13,DT,VBG,IN,NN,.
0,picture,animal,animal,14,NN,DT,VBG,.,XXXX
0,picture,.,.,15,.,NN,DT,XXXX,XXXX
0,belocatedat,Here,here,0,RB,XXXX,XXXX,VBZ,DT
0,belocatedat,is,be,1,VBZ,RB,XXXX,DT,NN
0,belocatedat,a,a,2,DT,VBZ,RB,NN,IN
0,belocatedat,copy,copy,3,NN,DT,VBZ,IN,DT
0,belocatedat,of,of,4,IN,NN,DT,DT,NN
0,belocatedat,the,the,5,DT,IN,NN,NN,.
0,belocatedat,drawing,draw,6,NN,DT,IN,.,XXXX
0,belocatedat,.,.,7,.,NN,DT,XXXX,XXXX
0,say,In,in,0,IN,XXXX,XXXX,DT,NN
0,say,the,the,1,DT,IN,XXXX,NN,PRP
0,say,book,book,2,NN,DT,IN,PRP,VBD
0,say,it,it,3,PRP,NN,DT,VBD,:
1,say,said,say,4,VBD,PRP,NN,:,``
0,say,:,:,5,:,VBD,PRP,``,NNP
0,say,``,``,6,``,:,VBD,NNP,NNS
0,say,Boa,boa,7,NNP,``,:,NNS,VBP
0,say,constrictors,constrictor,8,NNS,NNP,``,VBP,PRP$
0,say,swallow,swallow,9,VBP,NNS,NNP,PRP$,JJ
0,say,their,their,10,PRP$,VBP,NNS,JJ,JJ
0,say,prey,prey,11,JJ,PRP$,VBP,JJ,","
0,say,whole,whole,12,JJ,JJ,PRP$,",",IN
0,say,",",",",13,",",JJ,JJ,IN,VBG
0,say,without,without,14,IN,",",JJ,VBG,PRP
0,say,chewing,chew,15,VBG,IN,",",PRP,.
0,say,it,it,16,PRP,VBG,IN,.,XXXX
0,say,.,.,17,.,PRP,VBG,XXXX,XXXX
0,and,After,after,0,IN,XXXX,XXXX,DT,PRP
0,and,that,that,1,DT,IN,XXXX,PRP,VBP
0,and,they,they,2,PRP,DT,IN,VBP,RB
0,and,are,be,3,VBP,PRP,DT,RB,JJ
0,and,not,not,4,RB,VBP,PRP,JJ,TO
0,and,able,able,5,JJ,RB,VBP,TO,VB
0,and,to,to,6,TO,JJ,RB,VB,","
0,and,move,move,7,VB,TO,JJ,",",CC
0,and,",",",",8,",",VB,TO,CC,PRP
1,and,and,and,9,CC,",",VB,PRP,VBP
0,and,they,they,10,PRP,CC,",",VBP,IN
0,and,sleep,sleep,11,VBP,PRP,CC,IN,DT
0,and,through,through,12,IN,VBP,PRP,DT,CD
0,and,the,the,13,DT,IN,VBP,CD,NNS
0,and,six,six,14,CD,DT,IN,NNS,IN
0,and,months,month,15,NNS,CD,DT,IN,PRP
0,and,that,that,16,IN,NNS,CD,PRP,VBP
0,and,they,they,17,PRP,IN,NNS,VBP,IN
0,and,need,need,18,VBP,PRP,IN,IN,NN
0,and,for,for,19,IN,VBP,PRP,NN,.
0,and,digestion,digestion,20,NN,IN,VBP,.,``
0,and,.,.,21,.,NN,IN,``,XXXX
0,and,``,``,22,``,.,NN,XXXX,XXXX
0,ponder,I,i,0,PRP,XXXX,XXXX,VBD,RB
1,ponder,pondered,ponder,1,VBD,PRP,XXXX,RB,","
0,ponder,deeply,deeply,2,RB,VBD,PRP,",",RB
0,ponder,",",",",3,",",RB,VBD,RB,","
0,ponder,then,then,4,RB,",",RB,",",IN
0,ponder,",",",",5,",",RB,",",IN,DT
0,ponder,over,over,6,IN,",",RB,DT,NNS
0,ponder,the,the,7,DT,IN,",",NNS,IN
0,ponder,adventures,adventure,8,NNS,DT,IN,IN,DT
0,ponder,of,of,9,IN,NNS,DT,DT,NN
0,ponder,the,the,10,DT,IN,NNS,NN,.
0,ponder,jungle,jungle,11,NN,DT,IN,.,XXXX
0,ponder,.,.,12,.,NN,DT,XXXX,XXXX
1,and,And,and,0,CC,XXXX,XXXX,IN,DT
0,and,after,after,1,IN,CC,XXXX,DT,NN
